Term,Synonyms,Definition
ligulate,,"strap-like and short; also tongue-shaped. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
limicolous,,"seaweeds that lack holdfasts and have bases embedded in mud. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
lineage,,"a line or row of cells, usually indicating their origin. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Adelaide.)."
linear,,"narrow, with parallel sides and several times longer than broad. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Adelaide.)."
linnaean system of nomenclature,,"the system of nomenclature of binary names used for genera and species; names published after 1 may 1775. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
lithophyte,,"a plant growing on rock or stones. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Fletcher, R. L. (1987). Seaweeds of the British Isles, Vol. 3. Fucophyceae. Part 1.(Phaeophyceae).)."
lithophyte ,lithophytic,"growing on the surface of a rock or stone. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
littoral,,"applied to that portion of the shore which is alternately exposed to the air and wetted either by the tide or by splash or spray. see section 6.1, introduction. (source: Brodie, J.A., & Irvine, L.M. (2003) Seaweeds of the British Isles - Vol. 1 Rhodophyta, Part 3B Bangiophycidae.)."
lobate,,"divided into lobes. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
lobe,,"a forward projecting extension of an intergeniculum; in corallinoideae (source: Irvine, L.M., & Chamberlain, Y.M. (1994). Seaweeds of the British Isles Vol 1: Rhodophyta; Part 2B Corallinales, Hildenbrandiales.)."
loculus,loculi,"a chamber of a reproductive organ, containing usually a single gamete or spore. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Adelaide.)."
locum,,"the individual compartments of a plurilocular sporangium. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Fletcher, R. L. (1987). Seaweeds of the British Isles, Vol. 3. Fucophyceae. Part 1.(Phaeophyceae).)."
loose-lying,,"not attached to but lying on the substrate or in shallow water. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Adelaide.)."
lubricous,,"slippery. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
lumen ,lumina,"the central cavity of a cell or a hollow thallus. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
macroalga ,macroalgae,"a large alga that is visible without a microscope. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
macroalgae,,"larger algae readily observed without a microscope. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Adelaide.)."
macrogamete,,"the larger (usually regarded as female) of anisogametes. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Adelaide.)."
macroscopic,,"structures seen clearly with the unaided eye. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Adelaide.)."
macrothallus,,"the larger, conspicuous, phase in the life history of an organism, as contrasted with the microthallus. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Adelaide.)."
macrozooid,,"the larger of two differently sized zooids. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Adelaide.)."
macrozoosporangium,macrozoosporangia,"a sporangium with relatively large locules, producing the larger of two differently-sized spores. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Adelaide.)."
maerl,,"unattached, branched corallines, living or dead; often occurring in extensive deposits (maerl beds or banks) (source: Irvine, L.M., & Chamberlain, Y.M. (1994). Seaweeds of the British Isles Vol 1: Rhodophyta; Part 2B Corallinales, Hildenbrandiales.)."
maerl ,marl,"the remains of calcareous red seaweeds (coralline rhodophytes); also a collective name for coralline red algae. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
mammillate ,mammilose,"small protuberances or nipple-shaped lumps. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
mangroves,,"arborescent angiosperms characteristic of essentially marine, intertidal, mud-flat situations, in some genera with aerial pneumatophores arising from the roots. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Adelaide.)."
mannan,,"any of a group of polysaccharides composed of (predominantly) mannose residues linked together. (source: Brodie, J.A., & Irvine, L.M. (2003) Seaweeds of the British Isles - Vol. 1 Rhodophyta, Part 3B Bangiophycidae.)."
mannitol,,"a sugar alcohol product of photosynthesis in brown algae that functions as a balance to salinity and serves as a storage product. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
margin,,"peripheral area of a dorsiventral, nongeniculate thallus, often composed of basal and epithallial cells only and not usually bearing conceptacles (source: Irvine, L.M., & Chamberlain, Y.M. (1994). Seaweeds of the British Isles Vol 1: Rhodophyta; Part 2B Corallinales, Hildenbrandiales.)."
marginal conceptacle,,"conceptacle originating at the margin of a flattened intergeniculum; in the corallinoideae (source: Irvine, L.M., & Chamberlain, Y.M. (1994). Seaweeds of the British Isles Vol 1: Rhodophyta; Part 2B Corallinales, Hildenbrandiales.)."
mariculture,,"a specialized branch of aquaculture involving the cultivation of marine organisms for food and other products in the open ocean. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
mastigoneme,,"fine, microscopic hair-like structure on a flagellum (see also pantonematic). (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
mastigonemes,,"fine, hair-like, appendages on flagella. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Adelaide.)."
matrix,,"clear material in which the cells are set. (source: Brodie, J.A., & Irvine, L.M. (2003) Seaweeds of the British Isles - Vol. 1 Rhodophyta, Part 3B Bangiophycidae.)."
matrix ,jelly,"clear material in which cells are set. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
matt,,"thallus surface smooth and dull, not shiny; cf. glossy, grainy (source: Irvine, L.M., & Chamberlain, Y.M. (1994). Seaweeds of the British Isles Vol 1: Rhodophyta; Part 2B Corallinales, Hildenbrandiales.)."
medulla,,"collective term for filaments derived from terminal initials, occurring internally to the cortex and running more or less parallel to the thallus surface (fig.2c); in a monomerous thallus (source: Irvine, L.M., & Chamberlain, Y.M. (1994). Seaweeds of the British Isles Vol 1: Rhodophyta; Part 2B Corallinales, Hildenbrandiales.)."
medulla ,medullae,"the often colorless central core of tissue in multicellular algae that is filamentous, pseudoparenchymatous, or parenchymatous. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
megacell,,"an enlarged internal hyaline cell in crustose coralline algae (i.e., heterocyst, trichocyst). (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
meiosis,,"a type of nuclear division which results in daughter nuclei each containing half the number of chromosomes of the parent, i.e. chromosome number is reduced from diploid to haploid, and comprises two distinct nuclear divisions, which may be separated by cell division, the actual reduction in chromosome number taking place during the first division. (source: Brodie, J.A., & Irvine, L.M. (2003) Seaweeds of the British Isles - Vol. 1 Rhodophyta, Part 3B Bangiophycidae.)."
meiosporangium ,meiosporangia,"a sporangium that produces spores by meiosis. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
meiospore,,"a spore produced by meiosis. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
membranaceous,,"like a membrane. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Fletcher, R. L. (1987). Seaweeds of the British Isles, Vol. 3. Fucophyceae. Part 1.(Phaeophyceae).)."
membranous,,"delicate thin sheet of cells resembling a membrane. (source: Maggs, C., & Hommersand, M. H. (1993). Seaweeds of the British Isles. Volume 1 Rhodophyta, Part 3A Ceramiales.)."
membranous ,membranaceous,"a sheet or a thin layer that is often semitransparent. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
meriblastic,,"branching by outgrowth of small peripheral cells on the axes (in cladostephus). (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Adelaide.)."
meristem,,"a group of cells which divide and cause growth. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Fletcher, R. L. (1987). Seaweeds of the British Isles, Vol. 3. Fucophyceae. Part 1.(Phaeophyceae).)."
meristematic ,meristem,"tissue of active cell division and growth. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
meristoderm,,"a row of superficial (epidermal) cells that provide for increased girth by active division (laminariales). (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
mesochiton collar,,"the thickened, collar-like, inwardly projecting ring of central wall material, near the apices of oogonia in the seirococcaceae. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Adelaide.)."
microfibrils,,"very small fibrils or threads visible at high magnification. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
microscopic,,"not visible to the unaided eye. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Fletcher, R. L. (1987). Seaweeds of the British Isles, Vol. 3. Fucophyceae. Part 1.(Phaeophyceae).)."
microthallus,,"the small, filamentous, inconspicuous phase of an organism, alternating with a larger phase (the macrothallus). (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Adelaide.)."
midlittoral,,"applied to the middle portion of the littoral q.v. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Fletcher, R. L. (1987). Seaweeds of the British Isles, Vol. 3. Fucophyceae. Part 1.(Phaeophyceae).)."
midrib,,"a thickened, central, longitudinal rib (costa, vein) of a blade. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
midvein,,"a usually delicate median line of cells, with the blade being thicker through this region than on either side. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
mitosis,,"the typical process of nuclear division in eukaryotic cells, in which one set of duplicated chromosomes segregates into a daughter nucleus, resulting in daughter nuclei each containing a set of chromosomes, identical to that of the parent nucleus, and which is followed by cell division. (source: Brodie, J.A., & Irvine, L.M. (2003) Seaweeds of the British Isles - Vol. 1 Rhodophyta, Part 3B Bangiophycidae.)."
mitospore,,"a spore formed as a direct result of mitosis. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Adelaide.)."
mitotype,,"a molecular term for a single fixed genetic difference. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
mixed phases,,"thallus bearing reproductive structures normally found only on separate individuals, e.g. both gametangia and tetrasporangia. (source: Maggs, C., & Hommersand, M. H. (1993). Seaweeds of the British Isles. Volume 1 Rhodophyta, Part 3A Ceramiales.)."
mlwnt,,"mean low water level of neap tides. (source: Maggs, C., & Hommersand, M. H. (1993). Seaweeds of the British Isles. Volume 1 Rhodophyta, Part 3A Ceramiales.)."
mollusc ,mollusk,"a phylum of invertebrates that includes snails, slugs, mussels, and octopuses. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
moniliform,,"bead-like; a filament with regular constrictions. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
monocarpogonial,,"a single carpogonial filament is associated with a support cell. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
monoecious,,"with male and female gametangia on the same thallus. (source: Brodie, J.A., & Irvine, L.M. (2003) Seaweeds of the British Isles - Vol. 1 Rhodophyta, Part 3B Bangiophycidae.)."
monomerous,,"thallus type composed of medulla and cortex (fig. 2c); cf dimerous (source: Irvine, L.M., & Chamberlain, Y.M. (1994). Seaweeds of the British Isles Vol 1: Rhodophyta; Part 2B Corallinales, Hildenbrandiales.)."
monomorphic,,"occurring in one morphological form. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Fletcher, R. L. (1987). Seaweeds of the British Isles, Vol. 3. Fucophyceae. Part 1.(Phaeophyceae).)."
monophasic,,"with a single ploidy level (e.g. haploid or diploid). (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Fletcher, R. L. (1987). Seaweeds of the British Isles, Vol. 3. Fucophyceae. Part 1.(Phaeophyceae).)."
monophyletic,,"derived from a common ancestor plus all and only all of its descendants. (source: Brodie, J.A., & Irvine, L.M. (2003) Seaweeds of the British Isles - Vol. 1 Rhodophyta, Part 3B Bangiophycidae.)."
monopodial,,"growth by means of a continuous apical growing point. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Adelaide.)."
monopodial ,monopodial branching,"a type of growth in which secondary axes arise behind and are subsidiary to a main axis that grows indefinitely. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
monosiphonous,,"a single row of cells; also, a uniseriate structure or tube. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
monospecific,,"referring to a genus containing a single species. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Adelaide.)."
monosporangium,,"a structure in which a monospore arises {see also lenticular monosporangium above). (source: Brodie, J.A., & Irvine, L.M. (2003) Seaweeds of the British Isles - Vol. 1 Rhodophyta, Part 3B Bangiophycidae.)."
monospore,,"a spore formed in a monosporangium (see also lenticular monospore above). (source: Brodie, J.A., & Irvine, L.M. (2003) Seaweeds of the British Isles - Vol. 1 Rhodophyta, Part 3B Bangiophycidae.)."
monostromatic,,"composed of a single layer of cells. (source: Brodie, J.A., & Irvine, L.M. (2003) Seaweeds of the British Isles - Vol. 1 Rhodophyta, Part 3B Bangiophycidae.)."
monotypic,,"a family or genus with only one taxonomic component; axes or populations that are phenotypically consistent. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
morphology,,"the form of the thallus or structure. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Adelaide.)."
mucilage,,"general term for complex substances composed of various types of polysaccharides, becoming viscous and slimy when wet. (source: Brodie, J.A., & Irvine, L.M. (2003) Seaweeds of the British Isles - Vol. 1 Rhodophyta, Part 3B Bangiophycidae.)."
mucilage ,mucilaginous,"soft and often a slimy colloidal material. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
mucilaginous,,"containing or composed of mucilage. (source: Brodie, J.A., & Irvine, L.M. (2003) Seaweeds of the British Isles - Vol. 1 Rhodophyta, Part 3B Bangiophycidae.)."
mucro,,"a short, sharp, point. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Adelaide.)."
mucron ,mucronata,"short, sharp point. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
mucronate,,"furnished with a mucro. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Adelaide.)."
multiaxial,,"a type of thallus construction in which each axis includes a core of principal, co-dominant filaments; cf. uniaxial (source: Irvine, L.M., & Chamberlain, Y.M. (1994). Seaweeds of the British Isles Vol 1: Rhodophyta; Part 2B Corallinales, Hildenbrandiales.)."
multiaxial growth or organization,,"thalli with a core of parallel filaments, with each filament being derived from an apical cell. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
multicellular,,"composed of more than one cell. (source: Brodie, J.A., & Irvine, L.M. (2003) Seaweeds of the British Isles - Vol. 1 Rhodophyta, Part 3B Bangiophycidae.)."
multifarious,,"branching in irregular directions (e.g., radial branching). (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
multifid,,"having many divisions. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
multinucleate,,"containing more than two nuclei (e.g. fig. 41c). (source: Maggs, C., & Hommersand, M. H. (1993). Seaweeds of the British Isles. Volume 1 Rhodophyta, Part 3A Ceramiales.)."
multiseriate,,"a filament with cells divided periclinally to form two or more rows. (source: Brodie, J.A., & Irvine, L.M. (2003) Seaweeds of the British Isles - Vol. 1 Rhodophyta, Part 3B Bangiophycidae.)."
multistichous,,"an axis having branches on all sides. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
multistratose,,"having multiple layers of cells. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
muricate,,"rough surfaced, with short, hard, points. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Adelaide.)."
mutic,,"without a terminal point. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Adelaide.)."
myrionemoid,,"said of a thallus which resembles myrionema (discoid, monostromatic). (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Fletcher, R. L. (1987). Seaweeds of the British Isles, Vol. 3. Fucophyceae. Part 1.(Phaeophyceae).)."
nemathecium ,nemathecia,"a raised surface of a thallus containing reproductive organs. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
neotenic,,"with features of early stages of development persisting in adult; plants sometimes reproducing in apparently juvenile state; see fosliella-state of hydrolithon (source: Irvine, L.M., & Chamberlain, Y.M. (1994). Seaweeds of the British Isles Vol 1: Rhodophyta; Part 2B Corallinales, Hildenbrandiales.)."
neotype,,"a specimen or illustration selected to serve as nomenclatural type as long as all of the original material on which the name of the taxon was based is missing. (source: Brodie, J.A., & Irvine, L.M. (2003) Seaweeds of the British Isles - Vol. 1 Rhodophyta, Part 3B Bangiophycidae.)."
neutral conchospore,,"differentiated filaments which differ from the surrounding vegetative conchocelis. each sporangium produces a single product which germinates, sometimes in situ, to form further conchocelis. (source: Brodie, J.A., & Irvine, L.M. (2003) Seaweeds of the British Isles - Vol. 1 Rhodophyta, Part 3B Bangiophycidae.)."
neutral sporangia,,"sporangia producing mitospores which re-cycle the same phase of the life history. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Adelaide.)."
neutral spore,,"a spore formed by the mitotic cleavage of blade cells, without fertilization, and germinating into blades. (source: Brodie, J.A., & Irvine, L.M. (2003) Seaweeds of the British Isles - Vol. 1 Rhodophyta, Part 3B Bangiophycidae.)."
node,,"joint in a segmented axis; end-walls between contiguous cells of a filament (source: Maggs, C., & Hommersand, M. H. (1993). Seaweeds of the British Isles. Volume 1 Rhodophyta, Part 3A Ceramiales.)."
node ,nodal,"the site on an axis where blades or branches arise. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
nodulose,,"knotty, with local swellings, or minutely knobby in appearance. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
nom. cons.,,"nomen conservandum, or a name conserved according to the international code of botanical nomenclature. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Adelaide.)."
nomen dubium,,"a doubtful name, to be discarded according to the international code of botanical nomenclature. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Adelaide.)."
nomenclatural type,,"that element to which the name of a taxon is permanently attached, whether as a correct name or as a synonym (source: Maggs, C., & Hommersand, M. H. (1993). Seaweeds of the British Isles. Volume 1 Rhodophyta, Part 3A Ceramiales.)."
nomenclature,,"the taxonomic system of naming or the use of rules to correctly determine the scientific name of an organism. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
nucule,,"in charophyceae, a female reproductive structure including an oogonium and outer protective cells. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
nutritive cell,,"a specialized cell in advanced red algae that receives a diploid nucleus from a fertilized carpogonium, or its division product, and provides nourishment for the carposporophyte generation. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
nutritive filament,,"see connecting filament. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
nutritive tissue,,"in advanced red algae, a sterile tissue associated with the gonimoblast or a mixture of vegetative and non-sporangial cells that presumably furnish the developing carposporophyte with extra nutrients. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
ob ,,"inverted, e.g. obconical. (source: Maggs, C., & Hommersand, M. H. (1993). Seaweeds of the British Isles. Volume 1 Rhodophyta, Part 3A Ceramiales.)."
oblanceolate,,"lance-shaped, but with the narrower end basal or attached. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Adelaide.)."
oblate,,"flattened or depressed at the poles or on opposite sides. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
obligate,,"binding, obligatory; limited to one mode of life or action. (source: Brodie, J.A., & Irvine, L.M. (2003) Seaweeds of the British Isles - Vol. 1 Rhodophyta, Part 3B Bangiophycidae.)."
oblong-elliptical,,"a shape that is intermediate between oblong and ellipse when viewed in 2 dimensions (i.e., a 2-dimensional term). (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
obovate,,"broadest part above the middle. (source: Brodie, J.A., & Irvine, L.M. (2003) Seaweeds of the British Isles - Vol. 1 Rhodophyta, Part 3B Bangiophycidae.)."
obovoid,,"egg-shaped, but broadest near the upper end (a three-dimensional term). (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Adelaide.)."
obtuse,,"blunt or rounded at the end. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Adelaide.)."
ocellate,,"shaped like an eye, having eye-like spots, or possessing circular patches or spots. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
octosporangium,,"sporangium that contains eight spores at maturity, usually derived from a binucleate cell. (source: Maggs, C., & Hommersand, M. H. (1993). Seaweeds of the British Isles. Volume 1 Rhodophyta, Part 3A Ceramiales.)."
ooblast,,"in advanced red algae, a filament that transfers a zygote nucleus (directly or indirectly) from the fertilized carpogonium to an auxiliary cell (see connecting filament). (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
oogamy,,"the fusion of two dissimilar gametes, usually a large non-motile egg and a small motile antherozoid (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Fletcher, R. L. (1987). Seaweeds of the British Isles, Vol. 3. Fucophyceae. Part 1.(Phaeophyceae).)."
oogamy ,oogamous,"sexual reproduction in which a small, usually motile sperm fuses with a larger non-motile egg. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
oogonium,oogonia,"the female reproductive organ(s), each containing one or more eggs. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Adelaide.)."
oospore,,"a thick-walled zygote with food reserves; also a fertilized gamete. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
opaque,,"not allowing the passage of light; not transparent. (source: Brodie, J.A., & Irvine, L.M. (2003) Seaweeds of the British Isles - Vol. 1 Rhodophyta, Part 3B Bangiophycidae.)."
operculum,,"a lid opening by a slit and lifting away. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
opposite branching,,"a type of branching in which 2 branches occur at a node, with these being opposite or about 180° to each other. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
orbicular,,"more or less circular (source: Irvine, L.M., & Chamberlain, Y.M. (1994). Seaweeds of the British Isles Vol 1: Rhodophyta; Part 2B Corallinales, Hildenbrandiales.)."
orbital ridges,,"raised concentric rings round margin of thick thallus (e.g. phymatolithon lenormandii) (source: Irvine, L.M., & Chamberlain, Y.M. (1994). Seaweeds of the British Isles Vol 1: Rhodophyta; Part 2B Corallinales, Hildenbrandiales.)."
orbital rings,,"concentric markings round edge of bistratose thallus (e.g. fosliella-state of hydrolithon) (source: Irvine, L.M., & Chamberlain, Y.M. (1994). Seaweeds of the British Isles Vol 1: Rhodophyta; Part 2B Corallinales, Hildenbrandiales.)."
order,,"a taxonomic group between class and family, with the name ending in -ales. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Adelaide.)."
order ,,"a category of taxa between class and family. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
organelle,,"a specialized structure within a cell e.g. plastid, nucleus. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Fletcher, R. L. (1987). Seaweeds of the British Isles, Vol. 3. Fucophyceae. Part 1.(Phaeophyceae).)."
osmiophilic,,"staining readily with osmium stains. (source: Brodie, J.A., & Irvine, L.M. (2003) Seaweeds of the British Isles - Vol. 1 Rhodophyta, Part 3B Bangiophycidae.)."
ostiole,,"a small pore-like opening, usually of a conceptacle. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Fletcher, R. L. (1987). Seaweeds of the British Isles, Vol. 3. Fucophyceae. Part 1.(Phaeophyceae).)."
ostiole ,ostiolate,"a small pore for the escape of reproductive cells. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
ovate,,"egg-shaped with broader end at base. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Fletcher, R. L. (1987). Seaweeds of the British Isles, Vol. 3. Fucophyceae. Part 1.(Phaeophyceae).)."
ovoid,,"egg-shaped, broadest near the base (a three-dimensional term). (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Adelaide.)."
ovoid ,obovate,"in outline, the broadest part is above the middle. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
palisade cell,,"cell of a basal filament which is relatively tall, narrow and obliquely orientated in vs; adjacent palisade cells have end walls at the same level (source: Irvine, L.M., & Chamberlain, Y.M. (1994). Seaweeds of the British Isles Vol 1: Rhodophyta; Part 2B Corallinales, Hildenbrandiales.)."
palmate,,"flat and lobed; divided like the palm of a hand (see digitate). (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
palmelloid,,"a group of single nonmotile cells in a gelatinous mass. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
panicle,,"a loose cluster of reproductive organs; a branched raceme. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Adelaide.)."
pantonematic,,"flagella that bear microscopic hairs (mastigonemes). (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
papilla ,papillae,"minute short, nipple-like growths. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
papillae,,"small swollen cells sometimes lining the pore canal (source: Irvine, L.M., & Chamberlain, Y.M. (1994). Seaweeds of the British Isles Vol 1: Rhodophyta; Part 2B Corallinales, Hildenbrandiales.)."
paranemata,,"sterile hairs (e.g., paraphyses). (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
paraphyletic,,"a group that includes a most recent common ancestor plus only some of its descendants. (source: Brodie, J.A., & Irvine, L.M. (2003) Seaweeds of the British Isles - Vol. 1 Rhodophyta, Part 3B Bangiophycidae.)."
paraphyses,,"sterile filaments, usually uniseriate, on the thallus surface or within conceptacles. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Adelaide.)."
